Modelo,R2 Score,MAE (kg)
Random Forest,0.5120007099072884,2534.626716167941
XGBoost,0.48810088634490967,2778.759765625
Gradient Boosting,0.38235632214464144,3182.284428110571
Ridge Regression,0.12699610518810944,3988.5359831789588
