ANIO,MES,SEMANA,ADUA_DESC_CODE,PAIS_DESC_CODE,VARIEDAD_CODE,ES_ORGANICO,FOB_DOLPOL_KG,PESO_NETO
2022,9,39,3,3,4,1,5.553863898500577,4335
2022,9,39,0,3,40,1,4.900444444444444,11250
2022,9,39,0,3,35,1,5.0,11250
2022,9,39,0,3,36,1,6.76963776963777,12285
2022,10,40,3,3,36,1,3.9921777777777776,11250
2022,10,40,0,3,36,1,4.901511111111111,11250
2022,10,40,0,3,36,1,4.901955555555555,11250
2022,10,40,0,3,40,1,4.861701261701262,12285
2022,10,40,0,3,36,1,4.945333333333333,11250
2022,10,40,0,3,36,1,4.991555555555555,11250
2022,10,40,0,3,40,1,5.741066341066341,12285
2022,10,40,0,3,36,1,4.940266666666667,11250
2022,10,40,0,3,40,1,5.041839641839642,12285
2022,10,40,0,3,40,1,4.874399674399674,12285
2022,10,40,0,3,36,1,4.902933333333333,11250
2022,10,40,0,3,36,1,4.999733333333333,11250
2022,10,40,0,3,36,1,6.0,12285
2022,10,40,0,3,36,1,6.0,12285
2022,10,40,0,3,36,1,6.0,12285
2022,10,40,5,3,36,1,5.174197530864197,8100
2022,10,40,0,3,36,1,5.9184,11250
2022,10,40,0,3,36,1,5.212088888888889,11250
2022,10,40,0,3,36,1,5.2216,11250
2022,10,40,0,3,36,1,5.0000814000814,12285
2022,10,40,0,3,36,1,5.5000407000407,12285
2022,10,40,0,3,36,1,5.0000814000814,12285
2022,10,40,0,3,36,1,6.0,12285
2022,10,40,0,3,36,1,6.0,12285
2022,10,40,0,3,36,1,6.0,12285
2022,10,40,0,3,36,1,6.0,12285
2022,10,40,0,3,36,1,5.5000407000407,12285
2022,10,40,0,3,36,1,5.978184778184779,12285
2022,7,30,0,3,36,1,7.0,12285
2022,7,30,0,3,36,1,6.0,12285
2022,7,30,0,3,36,1,6.0,12285
2022,8,31,0,3,36,1,6.0,11250
2022,8,31,0,3,40,1,6.060888888888889,11250
2022,8,32,0,3,36,1,4.754871794871795,11700
2022,8,32,0,3,36,1,6.0,12285
2022,8,33,0,3,11,1,4.638081671415005,10530
2022,8,33,0,3,40,1,4.638176638176638,1755
2022,8,33,5,3,36,1,4.833333333333333,11700
2022,8,33,5,3,36,1,4.833333333333333,11700
2022,8,33,5,3,36,1,4.833333333333333,11700
2022,8,33,5,3,36,1,4.833333333333333,11700
2022,8,33,5,3,36,1,4.833333333333333,11700
2022,8,33,5,3,36,1,4.833333333333333,11700
2022,8,33,5,3,36,1,4.833333333333333,11700
2022,8,33,0,3,36,1,11.077333333333334,11250
2022,8,33,0,3,36,1,6.0,12285
2022,8,33,0,3,36,1,6.0,12285
2022,8,34,0,3,36,1,3.3333333333333335,11250
2022,8,34,0,3,36,1,5.999911111111111,11250
2022,8,34,0,3,36,1,5.0,11250
2022,8,34,0,3,36,1,6.0,11250
2022,8,35,0,3,36,1,5.0,11250
2022,9,35,0,3,36,1,5.681155555555556,11250
2022,9,35,0,3,36,1,5.5,11250
2022,9,35,0,3,36,1,3.3333333333333335,11250
2022,9,35,0,3,40,1,5.333333333333333,11250
2022,9,36,3,3,36,1,3.7605333333333335,11250
2022,9,36,3,3,36,1,3.9008,11250
2022,9,36,3,3,36,1,3.5997435897435897,11700
2022,9,36,0,3,36,1,6.101025641025641,11700
2022,9,36,5,3,36,1,5.0,11700
2022,9,36,5,3,36,1,5.5,11700
2022,9,36,0,3,40,1,5.518205128205128,11700
2022,9,37,3,3,36,1,5.333333333333333,11700
2022,9,37,3,3,36,1,5.333333333333333,11700
2022,9,37,0,3,11,1,4.447008547008547,3510
2022,9,37,0,3,40,1,4.446951566951567,8775
2022,9,38,0,3,36,1,5.113422222222222,11250
2022,9,38,0,3,36,1,5.130933333333333,11250
2022,9,38,0,3,36,1,5.1357333333333335,11250
2022,9,38,0,3,36,1,6.4993080993081,12285
2022,9,38,0,3,36,1,6.0,12285
2022,9,38,0,3,36,1,6.0,12285
2022,9,38,0,3,36,1,6.0,12285
2022,9,38,0,3,36,1,7.514122914122914,12285
2022,9,38,0,3,36,1,5.626488888888889,11250
2022,9,38,5,3,36,1,5.5,11700
2022,9,38,0,3,40,1,4.8713878713878715,12285
2022,9,38,0,3,40,1,5.0,11250
2022,1,52,0,3,36,1,5.333333333333333,12285
2022,1,1,0,3,36,1,5.333333333333333,12285
2022,1,2,0,3,36,1,6.666666666666667,12285
2022,1,2,0,3,36,1,6.666666666666667,12285
2022,1,2,0,3,36,1,6.346031746031746,12285
2022,6,24,5,3,36,1,7.9856410256410255,11700
2022,6,24,5,3,36,1,9.322649572649572,11700
2022,6,24,5,3,36,1,9.331196581196581,11700
2022,6,24,5,3,36,1,9.823846153846153,11700
2022,6,24,5,3,36,1,9.331196581196581,11700
2022,6,25,0,3,36,1,8.0,11700
2022,6,26,5,3,36,1,9.823846153846153,11700
2022,7,27,5,3,36,1,9.251282051282052,11700
2022,7,27,0,3,40,1,7.933333333333334,11700
2022,7,27,0,3,40,1,7.333333333333333,11700
2022,7,27,5,3,36,1,7.643589743589744,11700
2022,7,28,5,3,36,1,9.437692307692307,11700
2022,7,28,5,3,36,1,9.437692307692307,11700
2022,7,28,5,3,36,1,9.437692307692307,11700
2022,7,28,5,3,36,1,9.437692307692307,11700
2022,7,28,5,3,36,1,9.437692307692307,11700
2022,7,28,5,3,36,1,9.40094017094017,11700
2022,7,28,5,3,36,1,9.437692307692307,11700
2022,7,28,5,3,36,1,9.361025641025641,11700
2022,7,28,5,3,36,1,9.437692307692307,11700
